[17/12/2009 21:25:11] /up
[17/12/2009 21:25:12] /up
[17/12/2009 21:25:35] /down
[17/12/2009 21:25:36] /down
[06/02/2010 11:03:27] /a 5
[06/02/2010 11:03:28] /a 5
[06/02/2010 11:03:29] /a 5
[06/02/2010 11:03:29] /a 5
[06/02/2010 11:03:31] /down
[06/02/2010 11:03:33] /a 10
[06/02/2010 11:03:33] /a 10
[06/02/2010 11:03:34] /a 10
[06/02/2010 11:03:34] /a 10
[06/02/2010 11:03:35] /a 10
[06/02/2010 11:03:36] /a 10
[06/02/2010 11:03:37] /a 10
[06/02/2010 11:03:40] /a 10
[06/02/2010 11:03:40] /a 10
[06/02/2010 11:03:41] /a 10
[06/02/2010 11:03:42] /a 10
[06/02/2010 11:03:43] /a 10
[06/02/2010 11:03:45] /a 10
[06/02/2010 11:03:46] /a 10
[06/02/2010 11:03:47] /a 10
[06/02/2010 11:03:47] /a 10
[06/02/2010 11:03:48] /a 10
[06/02/2010 11:03:49] /a 5
[06/02/2010 11:03:50] /a 5
[06/02/2010 11:03:50] /a 5
[06/02/2010 11:03:51] /a 5
[06/02/2010 11:03:52] /a 5
[06/02/2010 11:03:52] /a 5
[06/02/2010 11:03:52] /a 5
[06/02/2010 11:03:53] /a 5
[06/02/2010 11:03:53] /a 5
[06/02/2010 11:03:55] /a 5
[06/02/2010 11:03:55] /a 5
[06/02/2010 11:03:56] /a 5
[06/02/2010 11:03:57] /a 5
[06/02/2010 11:03:57] /a 5
[06/02/2010 11:03:58] /a 5
[06/02/2010 11:05:45] /addskill GOD Comedinha, Level 20
[06/02/2010 11:05:50] /addskill GOD Comedinha, Level
[06/02/2010 11:05:51] /addskill GOD Comedinha, Level
[06/02/2010 11:05:51] /addskill GOD Comedinha, Level
[06/02/2010 11:05:52] /addskill GOD Comedinha, Level
[06/02/2010 11:05:52] /addskill GOD Comedinha, Level
[06/02/2010 11:05:57] /addskill GOD Comedinha, lvl
[06/02/2010 11:05:59] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:01] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:02] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:02] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:02] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:03] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:03] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:04] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:06:05] /addskill GOD Comedinha, lvl 20
[06/02/2010 11:09:25] /set GOD Comedinha,1899
[06/02/2010 11:09:39] /set GOD Comedinha,10000
[06/02/2010 11:16:21] /hail GOD Comedinha
[06/02/2010 11:16:25] /hail GOD Comedinha
[06/02/2010 11:16:37] /hail GOD Comedinha
[06/02/2010 11:16:37] /hail GOD Comedinha
[06/02/2010 11:16:38] /hail GOD Comedinha
[06/02/2010 11:16:39] /hail GOD Comedinha
[06/02/2010 11:16:40] /hail GOD Comedinha
[06/02/2010 11:16:40] /hail GOD Comedinha
[06/02/2010 11:16:40] /hail GOD Comedinha
[06/02/2010 11:16:41] /hail GOD Comedinha
[06/02/2010 11:16:41] /hail GOD Comedinha
[06/02/2010 11:16:42] /hail GOD Comedinha
[06/02/2010 11:16:42] /hail GOD Comedinha
[06/02/2010 11:16:42] /hail GOD Comedinha
[06/02/2010 11:16:43] /hail GOD Comedinha
[06/02/2010 11:16:43] /hail GOD Comedinha
[06/02/2010 11:16:44] /hail GOD Comedinha
[06/02/2010 11:16:44] /hail GOD Comedinha
[06/02/2010 11:16:45] /hail GOD Comedinha
[06/02/2010 11:16:45] /hail GOD Comedinha
[06/02/2010 11:17:02] /hail GOD Comedinha 500
[06/02/2010 11:17:08] /hail GOD Comedinha, 500
[06/02/2010 11:17:09] /hail GOD Comedinha, 500
[06/02/2010 11:17:10] /hail GOD Comedinha, 500
[06/02/2010 11:17:11] /hail GOD Comedinha, 500
[06/02/2010 11:17:12] /hail GOD Comedinha, 500
[06/02/2010 11:17:12] /hail GOD Comedinha, 500
[06/02/2010 11:17:13] /hail GOD Comedinha, 500
[06/02/2010 11:17:14] /hail GOD Comedinha, 500
[06/02/2010 11:17:19] /hail GOD Comedinha, 300
[06/02/2010 11:17:27] /hail GOD Comedinha, 6000
[06/02/2010 11:17:40] /hail GOD Comedinha, 1600
[06/02/2010 11:17:51] /hail GOD Comedinha, 8000
[06/02/2010 11:21:07] /t
[06/02/2010 11:40:21] /info alissow
[06/02/2010 11:40:27] /info god alissow
[06/02/2010 11:40:39] /info GOD Alissow
[06/02/2010 11:40:45] /info comedinha
[06/02/2010 11:41:21] /info Comedinha
[06/02/2010 11:41:22] /info Comedinha
[06/02/2010 11:41:29] /info GOD Comedinha
[06/02/2010 11:42:04] !info Comedinha
[06/02/2010 11:42:05] !info Comedinha
[06/02/2010 11:42:11] !info GOD Comedinha
[06/02/2010 11:42:40] /info
[06/02/2010 11:42:48] !info GOD Comedinha
[06/02/2010 11:45:06] !info GOD Comedinha
[06/02/2010 12:04:28] !change
[06/02/2010 12:04:40] !change atk 100
[06/02/2010 12:04:57] !change attack 100
[06/02/2010 12:04:59] !change attack 100
[06/02/2010 12:05:01] !change attack
[06/02/2010 12:05:05] !change attack, 100
[06/02/2010 12:05:06] !change attack, 100
[06/02/2010 12:06:39] !change attack, 40 
[06/02/2010 12:06:41] !change attack, 40
[06/02/2010 12:06:45] !change attack, 40
[06/02/2010 12:07:14] !change attack, 40 
[06/02/2010 12:07:18] !change attack, 40 
[06/02/2010 12:07:21] !change attack, 40 
[06/02/2010 12:07:57] !change armor, 40
[06/02/2010 12:07:58] !change armor, 40
[06/02/2010 12:07:59] !change armor, 40
[06/02/2010 12:08:01] !change armor, 40
[06/02/2010 12:08:19] !change armor, 40
[06/02/2010 12:08:22] !change attack, 40
[06/02/2010 12:08:23] !change attack, 40
[06/02/2010 12:08:24] !change attack, 40
[06/02/2010 12:08:28] !change attack, 40
[06/02/2010 12:09:01] !change name, Ronaldo
[06/02/2010 12:09:05] !change name, Ronaldo
[06/02/2010 12:09:07] !change name, Ronaldo
[06/02/2010 12:09:08] !change name, Ronaldo
[06/02/2010 12:09:21] !change Ronaldo, name
[06/02/2010 12:09:38] !change name Ronaldo
[06/02/2010 12:11:36] !change attack 40
[06/02/2010 12:12:11] !change attackspeed,500 
[06/02/2010 12:12:18] !change attack,500 
[06/02/2010 12:12:20] !change attack,500 
[06/02/2010 12:12:57] !change attack,40,right
[06/02/2010 12:12:58] !change attack,40,right
[06/02/2010 12:13:10] !change attack,40,axe
[06/02/2010 12:13:11] !change attack,40,axe
[06/02/2010 12:14:12] /attr description "hello this is cool" 
[06/02/2010 12:14:25] /attr description "hello this is cool" 
[06/02/2010 12:14:26] /attr description "hello this is cool" 
[06/02/2010 12:14:34] /attr description "Ronaldo" 
[06/02/2010 12:14:43] /attr description Ronaldo
[06/02/2010 12:14:54] /attr description "hello this is cool" 
[06/02/2010 12:14:59] /attr description "hello this is cool" 
[06/02/2010 12:15:04] /attr description "hello this is cool" 
[06/02/2010 12:15:18] /attr atk "40" 
[06/02/2010 12:15:44] /attr aid "40" 
[06/02/2010 12:15:59] /attr aid "0"
[06/02/2010 12:16:18] /attr atk "0"
[06/02/2010 12:16:23] /attr atk 0
[06/02/2010 12:16:44] /attr description "0"
[06/02/2010 12:16:53] /attr description "ronaldo"
[06/02/2010 12:17:14] /attr whatever 1
[06/02/2010 12:17:30] !change description 1
[06/02/2010 12:17:34] !change description ronaldo
[06/02/2010 12:24:17] /attr position
[06/02/2010 12:24:44] /attr position x 100 y 100 z 7
[06/02/2010 12:24:51] /a 1
[06/02/2010 12:24:59] /attr position 100
[06/02/2010 12:25:18] /attr position 100 100 1
[06/02/2010 12:25:21] /attr position 100 100 2
[06/02/2010 12:25:29] /attr position 100 7
[06/02/2010 12:25:31] /attr position 100 7
[06/02/2010 12:26:20] /attr destination
[06/02/2010 12:26:32] /attr destination [X: 85] [Y: 67] [Z: 7]
[06/02/2010 12:26:49] /attr destination X: 85 Y: 67 Z: 7
[06/02/2010 12:27:00] /attr destination : 85 Y: 67 Z: 7
[06/02/2010 12:27:05] /attr destination 85 Y: 67 Z: 7
[06/02/2010 12:27:14] /attr destination 85 67 7
[06/02/2010 12:27:15] /attr destination 85 67 7
[06/02/2010 12:27:27] /attr destination x85 y67 z7
[06/02/2010 12:27:36] /attr destination
[06/02/2010 12:27:37] /attr destination
[06/02/2010 12:28:10] /attr destination pos
[06/02/2010 12:28:18] /attr destination pos 100 100 7
[06/02/2010 12:28:25] /attr destination pos x100
[06/02/2010 12:28:34] /attr destination pos x100 y100 z7
[06/02/2010 12:28:55] /attr destination pos x85 y68 z7
[06/02/2010 12:29:04] /attr destination pos 85 68 7
[06/02/2010 12:29:06] /attr destination pos 85 68 7
[06/02/2010 12:29:11] /attr destination pos 1
[06/02/2010 12:29:13] /attr destination pos 2
[06/02/2010 12:30:39] /attr speaktype 1
[06/02/2010 12:30:42] /attr speaktype 2
[06/02/2010 12:31:28] /attr set atk 60
[06/02/2010 12:31:36] /attr set atk 1oo
[06/02/2010 12:31:40] /attr set atk 100
[06/02/2010 12:33:34] /attr set 40 erase
[06/02/2010 12:33:38] /attr set 40 erase
[06/02/2010 13:21:03] /change armor
[06/02/2010 13:21:07] /change armor 100
[06/02/2010 13:21:13] /change armor 100
[06/02/2010 13:21:26] /change aror 100
[06/02/2010 13:21:34] /change armor 100
[06/02/2010 13:23:21] /change armor 100
[06/02/2010 13:23:23] /change armor 100
[06/02/2010 13:24:09] /change attackspeed
[06/02/2010 13:24:10] /change attackspeed
[06/02/2010 13:24:12] /change attackspeed 100
[06/02/2010 13:24:19] /change "attackspeed"
[06/02/2010 13:24:22] /change "attackspeed" 100
[06/02/2010 13:24:28] /change attackspeed "100"
[06/02/2010 13:24:34] /change attackspeed, 100
[06/02/2010 13:24:50] /change attackspeed, 100
[06/02/2010 13:24:51] /change attackspeed, 100
[06/02/2010 13:24:55] /change attackspeed
[06/02/2010 13:24:59] /change attackspeed
[06/02/2010 13:25:02] /change attackspeed
[06/02/2010 13:25:05] /change attackspeed
[06/02/2010 13:25:37] /i backpeak
[06/02/2010 13:25:44] /i Backpacks
[06/02/2010 13:25:46] /i Backpacks
[06/02/2010 13:25:48] /i Backpack
[06/02/2010 13:26:24] /a 2
[06/02/2010 13:26:30] /a 2
[06/02/2010 13:26:31] /a 2
[06/02/2010 13:26:31] /a 2
[06/02/2010 13:36:46] /hail Account Manager
[06/02/2010 13:36:50] /hail Account Manager
[06/02/2010 13:37:16] /hail Theiago
[06/02/2010 13:37:17] /hail Theiago
[06/02/2010 13:37:46] /hail Theiago
[06/02/2010 13:37:46] /hail Theiago
[06/02/2010 13:38:09] /set 300
[06/02/2010 13:38:16] /hail Theiago 300
[06/02/2010 13:38:22] /hail Theiago, 300
[06/02/2010 13:38:53] /hail Theiago, 500
[06/02/2010 13:39:11] /hail Theiago, 500
[06/02/2010 13:39:42] /hail Theiago, 500
[06/02/2010 13:40:17] /hail Theiago, 500
[06/02/2010 13:40:17] /hail Theiago, 500
[06/02/2010 13:40:30] /hail Theiago, 5000
[06/02/2010 13:41:34] /set -7000
[06/02/2010 13:41:51] /set Theiago, -7000
[06/02/2010 13:42:57] /info Theiago
[06/02/2010 13:43:21] /r
[06/02/2010 13:44:17] /set -2000
[06/02/2010 13:44:22] /set -2000
[06/02/2010 13:44:37] /set -2000
[06/02/2010 13:44:50] /set Theiago, -2000
[06/02/2010 13:45:17] /set Theiago, -1500
[06/02/2010 13:46:06] /set Theiago, -1500
[06/02/2010 13:46:33] /set Theiago, -300
[06/02/2010 13:47:00] /set Theiago, 5000
[06/02/2010 13:48:06] /set GOD Comedinha, 5000
[06/02/2010 13:48:17] /set GOD Comedinha, -5000
[06/02/2010 13:48:42] /attr skull 1
[06/02/2010 13:48:48] /attr skull 2
[06/02/2010 13:48:50] /attr skull 3
[06/02/2010 13:48:52] /attr skull 4
[06/02/2010 13:48:54] /attr skull 5
[06/02/2010 13:49:11] /attr skull 0
[06/02/2010 13:51:02] /attr sex 0
[06/02/2010 13:51:24] /attr sex 1
[06/02/2010 13:53:46] /i 2160
[06/02/2010 13:56:30] /m demon
[06/02/2010 13:56:42] /t
[06/02/2010 14:01:23] /c god alissow
[06/02/2010 14:02:20] /set GOD Alissow, -5000
[06/02/2010 14:03:43] /set GOD Alissow, 5000
[06/02/2010 14:05:44] /fuck GOD Alissow, 500
[06/02/2010 14:06:02] /hail GOD Alissow, 500
[06/02/2010 14:07:43] /fuck GOD Alissow, 5000
[06/02/2010 14:08:34] /town 2
[06/02/2010 14:08:36] /town 3
[06/02/2010 14:08:38] /town 4
[06/02/2010 14:08:42] /a 5
[06/02/2010 14:08:42] /a 5
[06/02/2010 14:08:42] /a 5
[06/02/2010 14:08:42] /a 5
[06/02/2010 14:08:43] /a 5
[06/02/2010 14:08:43] /a 5
[06/02/2010 14:08:43] /a 5
[06/02/2010 14:08:44] /a 5
[06/02/2010 14:08:44] /a 5
[06/02/2010 14:08:44] /a 5
[06/02/2010 14:08:44] /a 5
[06/02/2010 14:08:45] /a 5
[06/02/2010 14:08:45] /a 5
[06/02/2010 14:08:45] /a 5
[06/02/2010 14:08:45] /a 5
[06/02/2010 14:08:45] /a 5
[06/02/2010 14:08:46] /a 5
[06/02/2010 14:08:46] /a 5
[06/02/2010 14:08:47] /a 5
[06/02/2010 14:08:47] /a 5
[06/02/2010 14:08:47] /a 5
[06/02/2010 14:08:47] /a 5
[06/02/2010 14:08:48] /a 5
[06/02/2010 14:08:48] /a 5
[06/02/2010 14:08:50] /a 5
[06/02/2010 14:08:50] /a 5
[06/02/2010 14:08:55] /c god alissow
[06/02/2010 14:09:32] /c god alissow
[06/02/2010 14:09:59] /a 5
[06/02/2010 14:14:41] /goto Theiago
[06/02/2010 14:23:02] /set GOD Comedinha, -5000
[06/02/2010 14:24:19] /set Lokiin, 4999
[06/02/2010 14:25:07] /set Lokiin, 5000
[06/02/2010 14:26:13] /set Lokiin, -5000
[06/02/2010 14:27:01] /set Lokiin, -400
[06/02/2010 14:27:30] /set Lokiin, -500
[06/02/2010 14:27:50] /set Lokiin, -1500
[06/02/2010 14:28:38] /set Lokiin, -3999
[06/02/2010 14:29:25] /set Lokiin, 1500
[06/02/2010 14:29:54] /attr sex 0
[06/02/2010 14:30:14] /set Lokiin, -5000
[06/02/2010 14:30:31] /set Lokiin, -2000
[06/02/2010 14:30:47] /set Lokiin, -1500
[06/02/2010 14:31:01] /set Lokiin, 5000
[06/02/2010 14:31:20] /attr sex 1
[06/02/2010 14:31:24] /attr sex 1
[06/02/2010 14:31:32] /attr group 6
[06/02/2010 14:32:36] /hail e de da rep positiva vai de 5 em 5
[06/02/2010 14:32:40] /hail e de da rep positiva vai de 5 em 5
[06/02/2010 14:35:14] /fuck god comedinha
[06/02/2010 14:35:14] /fuck god comedinha
[06/02/2010 14:35:15] /fuck god comedinha
[06/02/2010 14:35:17] /fuck god comedinha
[06/02/2010 14:35:19] /fuck god comedinha
[06/02/2010 14:35:19] /fuck god comedinha
[06/02/2010 14:35:20] /fuck god comedinha
[06/02/2010 14:35:20] /fuck god comedinha
[06/02/2010 14:35:21] /fuck god comedinha
[06/02/2010 14:35:21] /fuck god comedinha
[06/02/2010 14:35:22] /fuck god comedinha
[06/02/2010 14:35:22] /fuck god comedinha
[06/02/2010 14:35:23] /fuck god comedinha
[06/02/2010 14:35:23] /fuck god comedinha
[06/02/2010 14:35:24] /fuck god comedinha
[06/02/2010 14:35:24] /fuck god comedinha
[06/02/2010 14:35:25] /fuck god comedinha
[06/02/2010 14:35:25] /fuck god comedinha
[06/02/2010 14:35:26] /fuck god comedinha
[06/02/2010 14:35:26] /fuck god comedinha
[06/02/2010 14:36:07] /set god comedinha, -5000
[06/02/2010 14:37:25] /clean
[06/02/2010 14:42:54] /goto Lokiin
[06/02/2010 14:42:56] /goto Lokiin
[06/02/2010 15:38:39] /set god comedinha, 100
[06/02/2010 15:38:40] /set god comedinha, 100
[06/02/2010 15:38:42] /set god comedinha, 100
[06/02/2010 15:43:13] /set god comedinha, -5000
[06/02/2010 15:49:24] /a 5
[06/02/2010 15:49:24] /a 5
[06/02/2010 15:49:24] /a 5
[06/02/2010 15:49:25] /a 5
[06/02/2010 15:49:25] /a 5
[06/02/2010 15:49:25] /a 5
[06/02/2010 15:49:25] /a 5
[06/02/2010 15:49:26] /a 5
[06/02/2010 15:49:26] /a 5
[06/02/2010 15:49:26] /a 5
[06/02/2010 15:49:26] /a 5
[06/02/2010 15:49:27] /a 5
[06/02/2010 15:49:27] /a 5
[06/02/2010 15:49:27] /a 5
[06/02/2010 15:49:28] /a 5
[06/02/2010 15:49:28] /a 5
[06/02/2010 15:49:28] /a 5
[06/02/2010 15:49:28] /a 5
[06/02/2010 15:49:28] /a 5
[06/02/2010 15:49:29] /a 5
[06/02/2010 15:49:29] /a 5
[06/02/2010 15:49:29] /a 5
[06/02/2010 15:49:29] /a 5
[06/02/2010 15:49:30] /a 5
[06/02/2010 15:49:30] /a 5
[06/02/2010 15:49:30] /a 5
[06/02/2010 15:49:31] /a 5
[06/02/2010 15:49:32] /a 5
[06/02/2010 15:49:32] /a 5
[06/02/2010 15:49:32] /a 5
[06/02/2010 15:49:33] /a 5
[06/02/2010 15:52:58] /t
[06/02/2010 15:53:28] /a 5
[06/02/2010 15:53:28] /a 5
[06/02/2010 15:53:29] /a 5
[06/02/2010 15:53:29] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:30] /a 5
[06/02/2010 15:53:31] /a 5
[06/02/2010 15:53:31] /a 5
